timestamp,beats per minute,data source
2025-12-01T18:25:46Z,98.0,Inspire 3
2025-12-01T18:25:48Z,99.0,Inspire 3
2025-12-01T18:25:50Z,100.0,Inspire 3
2025-12-01T18:25:52Z,98.0,Inspire 3
2025-12-01T18:25:54Z,97.0,Inspire 3
2025-12-01T18:25:57Z,97.0,Inspire 3
2025-12-01T18:25:58Z,96.0,Inspire 3
2025-12-01T18:26:00Z,95.0,Inspire 3
2025-12-01T18:26:20Z,96.0,Inspire 3
2025-12-01T18:26:22Z,97.0,Inspire 3
2025-12-01T18:26:25Z,96.0,Inspire 3
2025-12-01T18:26:28Z,96.0,Inspire 3
2025-12-01T18:26:29Z,98.0,Inspire 3
2025-12-01T18:26:31Z,96.0,Inspire 3
2025-12-01T18:26:34Z,96.0,Inspire 3
2025-12-01T18:26:35Z,97.0,Inspire 3
2025-12-01T18:26:37Z,100.0,Inspire 3
2025-12-01T18:26:39Z,99.0,Inspire 3
2025-12-01T18:26:41Z,101.0,Inspire 3
2025-12-01T18:26:43Z,100.0,Inspire 3
2025-12-01T18:26:46Z,100.0,Inspire 3
2025-12-01T18:26:47Z,99.0,Inspire 3
2025-12-01T18:26:48Z,98.0,Inspire 3
2025-12-01T18:26:51Z,98.0,Inspire 3
2025-12-01T18:26:52Z,99.0,Inspire 3
2025-12-01T18:26:54Z,97.0,Inspire 3
2025-12-01T18:26:56Z,100.0,Inspire 3
2025-12-01T18:26:58Z,99.0,Inspire 3
2025-12-01T18:27:00Z,100.0,Inspire 3
2025-12-01T18:27:03Z,100.0,Inspire 3
2025-12-01T18:27:04Z,98.0,Inspire 3
2025-12-01T18:27:06Z,99.0,Inspire 3
2025-12-01T18:27:08Z,97.0,Inspire 3
2025-12-01T18:27:10Z,99.0,Inspire 3
2025-12-01T18:27:13Z,99.0,Inspire 3
2025-12-01T18:27:15Z,97.0,Inspire 3
2025-12-01T18:27:17Z,93.0,Inspire 3
2025-12-01T18:27:19Z,94.0,Inspire 3
2025-12-01T18:27:21Z,95.0,Inspire 3
2025-12-01T18:27:23Z,96.0,Inspire 3
2025-12-01T18:27:25Z,94.0,Inspire 3
2025-12-01T18:27:27Z,96.0,Inspire 3
2025-12-01T18:27:29Z,97.0,Inspire 3
2025-12-01T18:27:31Z,96.0,Inspire 3
2025-12-01T18:53:07Z,99.0,Inspire 3
2025-12-01T19:21:16Z,98.0,Inspire 3
2025-12-01T19:21:18Z,97.0,Inspire 3
2025-12-01T19:21:20Z,96.0,Inspire 3
2025-12-01T19:21:22Z,97.0,Inspire 3
2025-12-01T19:21:25Z,97.0,Inspire 3
2025-12-01T19:21:28Z,97.0,Inspire 3
2025-12-01T19:21:29Z,98.0,Inspire 3
2025-12-01T19:21:32Z,98.0,Inspire 3
2025-12-01T19:21:33Z,100.0,Inspire 3
2025-12-01T19:21:36Z,100.0,Inspire 3
2025-12-01T19:21:39Z,101.0,Inspire 3
2025-12-01T19:21:41Z,100.0,Inspire 3
2025-12-01T19:21:44Z,100.0,Inspire 3
2025-12-01T19:21:45Z,101.0,Inspire 3
